cluster,SG_UF,n,percentual
1,SP,10600,20.9
1,MG,6765,13.3
1,PR,4059,8
1,RJ,3981,7.8
1,RS,3559,7
1,SC,2550,5
1,CE,2306,4.5
1,BA,2149,4.2
1,PE,1735,3.4
1,GO,1662,3.3
1,PA,1562,3.1
1,ES,1017,2
1,MA,1025,2
1,AM,896,1.8
1,PI,880,1.7
1,RN,846,1.7
1,MS,827,1.6
1,PB,807,1.6
1,MT,710,1.4
1,AL,603,1.2
1,RO,554,1.1
1,DF,520,1
1,SE,436,0.9
1,TO,326,0.6
1,AC,149,0.3
1,AP,124,0.2
1,RR,98,0.2
2,SP,6354,13.2
2,BA,5538,11.5
2,RJ,3969,8.2
2,RS,3745,7.8
2,MG,3087,6.4
2,CE,2777,5.8
2,MA,2617,5.4
2,PE,2601,5.4
2,PR,2451,5.1
2,SC,1848,3.8
2,PA,1583,3.3
2,GO,1537,3.2
2,PB,1553,3.2
2,PI,1276,2.6
2,RN,1251,2.6
2,MT,1111,2.3
2,ES,944,2
2,AL,917,1.9
2,SE,789,1.6
2,AM,482,1
2,TO,491,1
2,MS,416,0.9
2,DF,298,0.6
2,RO,185,0.4
2,AC,145,0.3
2,AP,107,0.2
2,RR,115,0.2
3,MG,8576,19.7
3,BA,4274,9.8
3,PA,3655,8.4
3,MA,3571,8.2
3,SP,3151,7.2
3,CE,2461,5.6
3,AM,2411,5.5
3,PE,2233,5.1
3,RJ,1470,3.4
3,PI,1425,3.3
3,RN,1357,3.1
3,PB,1251,2.9
3,RS,1178,2.7
3,AC,878,2
3,ES,873,2
3,SC,729,1.7
3,TO,666,1.5
3,MT,576,1.3
3,AL,516,1.2
3,PR,434,1
3,SE,444,1
3,AP,344,0.8
3,RR,348,0.8
3,GO,274,0.6
3,RO,215,0.5
3,DF,139,0.3
3,MS,112,0.3
4,SP,13511,18.8
4,BA,7643,10.7
4,MA,6013,8.4
4,MG,5641,7.9
4,PA,5017,7
4,RJ,3615,5
4,PE,3388,4.7
4,PR,3031,4.2
4,CE,2578,3.6
4,RS,2564,3.6
4,SC,2336,3.3
4,AM,2315,3.2
4,PB,2030,2.8
4,PI,1744,2.4
4,GO,1534,2.1
4,AL,1286,1.8
4,RN,1254,1.7
4,ES,1013,1.4
4,MT,844,1.2
4,SE,761,1.1
4,TO,734,1
4,MS,610,0.9
4,AC,506,0.7
4,DF,514,0.7
4,RO,439,0.6
4,RR,408,0.6
4,AP,369,0.5
