SG_UF,escolas,indice_medio,vulnerabilidade_media
AC,1678,2.19,5.81
AM,6104,2.82,5.18
AP,944,2.94,5.06
PA,11817,3.01,4.99
RR,969,3.09,4.91
MA,13226,3.3,4.7
TO,2217,3.44,4.56
MG,24069,3.53,4.47
PI,5325,3.64,4.36
RN,4708,3.69,4.31
PB,5641,3.75,4.25
BA,19604,3.88,4.12
PE,9957,3.96,4.04
CE,10122,4.05,3.95
AL,3322,4.22,3.78
ES,3847,4.24,3.76
MT,3241,4.32,3.68
SE,2430,4.42,3.58
RO,1393,4.75,3.25
DF,1471,4.87,3.13
SP,33616,4.91,3.09
RJ,13035,4.93,3.07
RS,11046,4.93,3.07
SC,7463,5.15,2.85
GO,5007,5.22,2.78
MS,1965,5.26,2.74
PR,9975,5.56,2.44
